,CT_ID,Median_Income,Median_Income_Percentile_Rank
0,25025092101,56149,38.00%
1,25025100603,90893,72.00%
2,25025010103,32464,13.00%
3,25025070402,36333,15.00%
4,25025140107,82750,64.00%
5,25025051101,69145,55.00%
6,,,nan%
7,25025090901,25662,5.00%
8,25025110301,69563,56.00%
9,25025110103,87214,69.00%
10,,,nan%
11,25025170701,49390,24.00%
12,25025091001,94896,76.00%
13,25025040401,120234,88.00%
14,25025120600,105968,82.00%
15,25025091300,41020,18.00%
16,25025110501,94615,75.00%
17,25025030500,117500,86.00%
18,25025010500,54278,34.00%
19,25025140201,81063,63.00%
20,25025082100,25125,5.00%
21,25025070900,53000,31.00%
22,25025050500,58910,40.00%
23,25025101101,50625,27.00%
24,25025170300,72721,58.00%
25,25025180500,76974,62.00%
26,25025091700,49800,26.00%
27,25025070200,28646,8.00%
28,25025030100,102426,81.00%
29,25025130300,123241,88.00%
30,25025130402,73039,59.00%
31,25025140102,98750,78.00%
32,25025081001,31917,11.00%
33,25025020101,118250,87.00%
34,25025020303,106293,83.00%
35,25025060501,137554,93.00%
36,25025050101,51230,28.00%
37,25025170502,63944,48.00%
38,25025110607,106222,83.00%
39,25025120104,100977,80.00%
40,25025120201,84321,65.00%
41,,,nan%
42,25025000803,54821,35.00%
43,25025000704,63761,47.00%
44,25025000504,62148,45.00%
45,25025000703,43163,20.00%
46,25025010802,131518,91.00%
47,25025010204,41667,19.00%
48,25025010404,26875,7.00%
49,25025010405,19000,3.00%
50,25025020301,76563,61.00%
51,25025020302,145625,96.00%
52,25025040100,152917,96.00%
53,25025160101,67058,51.00%
54,25025160501,50917,28.00%
55,25025160300,52500,31.00%
56,25025050901,56141,38.00%
57,25025051000,54174,33.00%
58,25025180301,86118,68.00%
59,25025170601,67230,52.00%
60,,,nan%
61,25025160601,60818,44.00%
62,25025170501,60179,42.00%
63,25025180101,51953,30.00%
64,25025180400,83333,64.00%
65,25025060301,134792,92.00%
66,25025080100,32258,12.00%
67,25025061101,15576,1.00%
68,25025100700,96250,77.00%
69,25025120103,160341,98.00%
70,25025130406,53265,32.00%
71,25025130404,69798,56.00%
72,25025160602,63776,47.00%
73,25025170702,54375,34.00%
74,25025010408,66389,50.00%
75,25025010701,117875,87.00%
76,25025981100,44808,21.00%
77,25025981800,250001,100.00%
78,25025110403,100833,80.00%
79,25025010203,41544,18.00%
